region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
ON,male,Alberta,agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,neither disagree nor agree,definitely yes,54,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,4,4,5,5,5,5,5,5,5
AB,female,Alberta,strongly agree,neutral,no,,important,that depends ,not sure,yes but i cant describe it well,zed,important,definitely yes,probably yes,,,no particular variety,sometimes,yes,yes,might or might not,probably yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,44,canada,undergraduate degree,i am in a graduate program,0,no,,30 minutes to 1 hour,3,5,3,3,4,3,5,3.66666666666667,3.66666666666667,4,4.08333333333333
BC,female,Alberta,strongly agree,neutral,no,,extremely important,yes,not sure,,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,disagree,strongly agree,neither disagree nor agree,probably yes,59,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,3,5,4,3,5,3,5,5,3.66666666666667,5,4.66666666666667
NB,male,Alberta,strongly agree,definitely not,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably not,probably yes,yes ,british english,often,yes,definitely yes,probably yes,probably yes,strongly agree,strongly agree,strongly agree,neither disagree nor agree,probably yes,39,canada,undergraduate degree,i am not currently studying,6,yes ,2,24 hours,5,3,2,3,3,5,3,2.33333333333333,3.66666666666667,3,3
AB,male,Alberta,somewhat agree,definitely not,no,,,yes,yes,yes i do know it is ,zed,very unimportant,probably yes,definitely yes,definitely not,yes ,american english,sometimes,yes,definitely yes,probably yes,probably yes,strongly agree,strongly disagree,agree,strongly agree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,4,4,3,1,5,4,5,3.66666666666667,1,3.41666666666667
ON,male,Alberta,strongly agree,probably yes,yes,moderately uncomfortable,unimportant,yes,yes,yes but i cant describe it well,zed,unimportant,probably yes,probably yes,definitely not,,no particular variety,sometimes,yes,no,probably yes,probably yes,strongly disagree,neither disagree nor agree,agree,agree,probably yes,29,canada,high school,i am not currently studying,0,no,,12 hours,5,4,3,3,2,5,4,3.66666666666667,3.66666666666667,2,3.33333333333333
ON,female,other,strongly agree,definitely yes,yes,extremely comfortable,,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,strongly disagree,agree,neither disagree nor agree,disagree,definitely yes,49,portugal,undergraduate degree,i am not currently studying,1,no,,12 hours,1,3,3,4,3,1,3,3.66666666666667,5,3,3.66666666666667
ON,female,Alberta,strongly agree,neutral,no,,important,no,yes,yes i do know it is ,zed,important,definitely yes,probably yes,definitely not,yes ,british english,always,yes,neither yes or no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,strongly agree,definitely yes,49,canada,postgraduate degree,i am not currently studying,0,no,,68 hours,5,5,3,4,4,5,5,3.66666666666667,5,4,4.41666666666667
AB,female,Alberta,,neutral,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,strongly agree,agree,strongly disagree,definitely yes,19,canada,high school,second year,0,no,,12 hours,5,5,4,4,5,5,5,5,5,5,5
AB,female,Alberta,agree,probably not,no,,important,no,no,,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,,probably yes,34,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
AB,male,Alberta,somewhat agree,probably not,no,,unimportant,yes,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,definitely not,,british english,sometimes,no,neither yes or no,definitely yes,probably yes,strongly agree,strongly disagree,neither disagree nor agree,disagree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,,,24 hours,5,4,3,3,3,5,4,3.66666666666667,3.66666666666667,3,3.58333333333333
AB,female,Alberta,strongly agree,definitely yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,very unimportant,definitely yes,definitely yes,definitely not,no,canadian english,sometimes,yes,definitely yes,definitely not,probably yes,disagree,disagree,strongly agree,disagree,definitely yes,59,canada,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,4,4,1,5,5,5,5,1,4
US,female,United States,strongly agree,neutral,no,,,that depends ,not sure,,zee,neither unimportant nor important,might or might not,probably yes,probably not,no,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,59,united states,undergraduate degree,i am not currently studying,0,yes ,2,12 hours,3,3,3,3,3,3,3,3.66666666666667,3.66666666666667,3,3.33333333333333
US,male,Alberta,strongly agree,probably yes,no,,extremely important,no,no,,both,neither unimportant nor important,might or might not,definitely yes,,,no particular variety,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,neither disagree nor agree,definitely yes,54,canada,high school,i am not currently studying,0,no,,i dont use social media,1,3,4,4,3,1,3,5,5,3,4
MB,female,Manitoba,agree,probably yes,yes,neither comfortable nor uncomfortable,,no,not sure,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,29,canada,graduate degree,i am not currently studying,2,yes ,3,12 hours,3,4,3,3,3,3,4,3.66666666666667,3.66666666666667,3,3.58333333333333
AB,male,Alberta,strongly agree,probably yes,no,,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,39,canada,graduate degree,i am not currently studying,0,no,,24 hours,5,5,,3,5,5,5,,3.66666666666667,5,4.55555555555556
AB,male,Alberta,strongly agree,probably yes,yes,extremely comfortable,extremely important,yes,no,,zed,important,definitely yes,probably not,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,disagree,probably not,29,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,1,5,2,2,4,1,5,2.33333333333333,2.33333333333333,4,3.41666666666667
ON,male,Alberta,somewhat agree,probably not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably yes,,british english,rarely,yes,yes,definitely yes,probably yes,agree,agree,neither disagree nor agree,disagree,definitely yes,29,canada,undergraduate degree,i am not currently studying,0,yes ,5,i dont use social media,5,5,4,4,5,5,5,5,5,5,5
ON,female,Alberta,strongly disagreee,definitely yes,no,,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,34,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,4,3,4,5,5,5,3.66666666666667,4,4.41666666666667
MB,female,Manitoba,strongly agree,probably not,no,,extremely important,yes,no,,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,,strongly agree,probably yes,64,canada,undergraduate degree,i am not currently studying,0,yes ,15,24 hours,1,5,4,3,5,1,5,5,3.66666666666667,5,4.66666666666667
BC,female,British Columbia,agree,probably yes,no,,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably not,definitely not,yes ,british english,often,,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,definitely yes,59,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,4,2,4,3,5,4,2.33333333333333,5,3,3.58333333333333
BC,other,Alberta,strongly agree,neutral,no,,important,no,yes,yes i do know it is ,both,neither unimportant nor important,definitely yes,definitely not,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,agree,strongly agree,strongly agree,definitely yes,49,canada,undergraduate degree,i am in a graduate program,0,no,,30 minutes to 1 hour,5,5,1,4,3,5,5,1,5,3,3.5
AB,male,Alberta,agree,neutral,no,,extremely important,yes,no,,zed,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,strongly disagree,agree,disagree,definitely yes,34,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,1,5,3,4,5,1,5,3.66666666666667,5,5,4.66666666666667
AB,male,Alberta,agree,neutral,no,,unimportant,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,neither yes or no,probably yes,definitely yes,disagree,disagree,strongly disagree,strongly disagree,probably yes,49,canada,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes,5,1,3,3,3,5,1,3.66666666666667,3.66666666666667,3,2.83333333333333
MB,male,Alberta,strongly agree,definitely yes,yes,extremely comfortable,important,no,not sure,,zed,very important,definitely yes,probably yes,probably not,no,no particular variety,sometimes,yes,yes,definitely yes,might or might not,strongly agree,strongly agree,neither disagree nor agree,neither disagree nor agree,probably yes,34,canada,graduate degree,i am in a graduate program,0,yes ,5,30 minutes to 1 hour,3,5,3,3,5,3,5,3.66666666666667,3.66666666666667,5,4.33333333333333
AB,female,Alberta,agree,probably yes,no,,extremely important,no,no,,zee,important,definitely yes,,,no,no particular variety,often,yes,definitely yes,probably yes,definitely yes,agree,agree,strongly agree,disagree,probably yes,24,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,1,5,,3,4,1,5,,3.66666666666667,4,4.22222222222222
