Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Definitely yes,Yes,Moderately comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Probably not,Probably yes,Definitely not,Yes (please specify who):,,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Agree,Strongly agree,Agree,Definitely yes,50-54,Canada,Ontario,female,undergraduate degree,I am not currently studying,ON,0,yes (please specify):,9,30 minutes to 1 hour
Agree,Probably yes,No,,Important,No,Yes,"Yes, but I can't describe it well",both,Unimportant,Might or might not,Probably yes,Definitely not,,British English,Sometimes,Yes,Yes,Definitely yes,Probably not,Agree,Neither disagree nor agree,Agree,Disagree,,20-24,Canada,Manitoba,male,undergraduate degree,I am not currently studying,AB,0,no,,1-2 hours
Strongly agree,Probably yes,No,,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Probably yes,40-44,Canada,Saskatchewan,non-binary,undergraduate degree,I am not currently studying,MB,0,no,,2-4 hours
Strongly agree,Probably not,Yes,Neither comfortable nor uncomfortable,Important,No,Yes,"Yes, but I can't describe it well",zee,Important,Definitely yes,Probably yes,Definitely not,,British English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Agree,Agree,Neither disagree nor agree,Probably yes,25-29,Canada,British Columbia,male,other (please specify):,I am not currently studying,ON,0,yes (please specify):,0,1-2 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,No,No,,zed,Neither unimportant nor important,Might or might not,Definitely not,,No,British English,Never,,Neither yes or no,Probably yes,Might or might not,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Probably yes,30-34,Canada,Quebec,male,graduate degree,I am not currently studying,QC,12,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Extremely comfortable,Extremely important,No,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Disagree,Neither disagree nor agree,Disagree,Definitely yes,55-59,Canada,Manitoba,female,undergraduate degree,I am not currently studying,MB,0,no,,I don't use social media
Strongly agree,Probably yes,No,,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",both,Important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Neither yes or no,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Probably yes,35-39,Canada,Manitoba,male,other (please specify):,I am not currently studying,MB,0,yes (please specify):,0,1-2 hours
Somewhat agree,Definitely not,No,,Extremely unimportant,Yes,No,,both,Neither unimportant nor important,Definitely not,Probably not,Definitely not,Yes (please specify who):,British English,Sometimes,No,No,Probably yes,Definitely yes,Strongly agree,Strongly disagree,Neither disagree nor agree,Strongly disagree,,40-44,Canada,Manitoba,male,other (please specify):,I am not currently studying,MB,0,no,,I don't use social media
Strongly agree,Definitely yes,No,,Unimportant,No,Yes,"Yes, but I can't describe it well",both,Unimportant,Probably not,Probably yes,Definitely not,No,British English,Sometimes,,Don't know,Probably not,Probably not,Neither disagree nor agree,Neither disagree nor agree,Agree,Agree,Probably not,20-24,Canada,Ontario,male,high school,First year,ON,0,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Extremely comfortable,Extremely important,Yes,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,No,British English,Often,Yes,Yes,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Agree,Agree,Probably yes,50-54,Canada,Manitoba,male,graduate degree,I am not currently studying,MB,0,yes (please specify):,11,30 minutes to 1 hour
Strongly agree,Neutral,No,,,No,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably not,Probably yes,Definitely not,,British English,Sometimes,Yes,No,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Strongly agree,,30-34,Canada,British Columbia,female,undergraduate degree,I am not currently studying,BC,6,yes (please specify):,9,2-4 hours
Agree,Neutral,No,,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Definitely yes,Probably not,No,British English,Sometimes,Yes,Neither yes or no,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Strongly agree,Agree,Definitely yes,35-39,Canada,Manitoba,female,graduate degree,First year,MB,0,yes (please specify):,4,2-4 hours
Strongly disagreee,Neutral,Yes,Neither comfortable nor uncomfortable,Important,Yes,No,,both,Very important,Definitely yes,Don't know,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Neither yes or no,Definitely yes,Probably yes,Strongly agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,,70-74,Canada,Manitoba,male,high school,I am not currently studying,X,0,no,,I don't use social media
Strongly agree,Probably yes,Yes,Neither comfortable nor uncomfortable,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably yes,Definitely yes,Definitely not,,No particular variety,Often,Yes,Don't know,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Disagree,Probably yes,35-39,Canada,Ontario,female,other (please specify):,I am not currently studying,PEI,4,yes (please specify):,2,less than 30 minutes
Strongly agree,Probably yes,Yes,Moderately uncomfortable,Unimportant,No,Yes,"Yes, but I can't describe it well",both,Very unimportant,Definitely not,Probably yes,Definitely not,Yes (please specify who):,Other (please name):,Rarely,No,Definitely not,Definitely yes,Probably yes,Strongly agree,Strongly agree,Strongly disagree,Agree,Probably yes,25-29,Canada,Quebec,male,undergraduate degree,I am not currently studying,MeXico,7,yes (please specify):,4,2-4 hours
