Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,Yes,Not sure,,zed,Neither unimportant nor important,Probably yes,Probably yes,,,No particular variety,Often,Yes,Yes,Probably not,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,15-19,Canada,British Columbia,female,high school,First year,Philippines,1,yes (please specify):,1,2-4 hours
Strongly agree,Definitely yes,No,,Important,No,Not sure,,zed,Neither unimportant nor important,Probably not,Probably not,Definitely not,Yes (please specify who):,British English,Sometimes,,Neither yes or no,Definitely yes,Probably yes,Agree,Strongly disagree,Agree,Agree,Probably yes,30-34,Canada,British Columbia,male,post-graduate degree,I am not currently studying,NL,0,no,,1-2 hours
Strongly agree,Neutral,No,,Important,That depends (please also explain if you can),No,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably yes,Probably not,Probably not,Yes (please specify who):,British English,Often,No,Don't know,Definitely yes,Definitely yes,Agree,Agree,Agree,Neither disagree nor agree,Definitely yes,55-59,Canada,Ontario,male,undergraduate degree,I am not currently studying,QC,0,yes (please specify):,10,less than 30 minutes
Agree,Probably yes,No,,,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Neither unimportant nor important,Probably not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Rarely,Yes,Neither yes or no,Might or might not,Definitely not,Disagree,Disagree,Agree,Neither disagree nor agree,Probably not,65-69,Canada,British Columbia,female,post-graduate degree,I am not currently studying,New Zealand,0,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Extremely important,That depends (please also explain if you can),No,,both,Neither unimportant nor important,Probably yes,Definitely yes,Definitely not,Yes (please specify who):,Canadian English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Agree,Strongly agree,Strongly agree,Definitely yes,50-54,Canada,British Columbia,male,post-graduate degree,I am not currently studying,BC,0,no,,2-4 hours
Strongly agree,Definitely yes,No,,,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably not,Probably yes,Probably not,,No particular variety,Sometimes,No,Yes,Definitely yes,Probably yes,Disagree,Disagree,Agree,Neither disagree nor agree,Probably yes,55-59,Canada,Prince Edward Island,female,undergraduate degree,I am not currently studying,PEI,0,no,,1-2 hours
Strongly disagreee,Probably yes,Yes,Moderately uncomfortable,Important,,Yes,,both,Neither unimportant nor important,,Probably not,Probably yes,No,American English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Probably yes,50-54,Canada,British Columbia,female,undergraduate degree,I am not currently studying,Philippines,1,yes (please specify):,4,I don't use social media
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",both,Important,Definitely yes,Don't know,Probably not,Yes (please specify who):,British English,Rarely,Yes,Neither yes or no,Probably yes,Definitely yes,Agree,Agree,Don't know,Neither disagree nor agree,Probably yes,15-19,Canada,British Columbia,female,high school,Second year,BC,2,yes (please specify):,0,
Strongly agree,Definitely yes,No,,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zee,Neither unimportant nor important,Probably yes,Probably not,Probably not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Disagree,Strongly agree,Disagree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,AB,0,no,,1-2 hours
Strongly agree,Neutral,Yes,Extremely comfortable,Unimportant,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Might or might not,Probably yes,Definitely not,,No particular variety,Sometimes,Yes,Yes,Definitely yes,Might or might not,Agree,Agree,Agree,Neither disagree nor agree,Probably yes,50-54,Canada,British Columbia,male,graduate degree,I am not currently studying,Germany,0,yes (please specify):,6,I don't use social media
Agree,Probably yes,Yes,Neither comfortable nor uncomfortable,Unimportant,That depends (please also explain if you can),No,,zed,Neither unimportant nor important,,Probably yes,Probably yes,No,British English,Sometimes,Yes,Don't know,Definitely yes,Definitely yes,Disagree,Disagree,Disagree,Neither disagree nor agree,Probably yes,35-39,Canada,Nova Scotia,male,undergraduate degree,I am not currently studying,NS,0,no,,1-2 hours
Agree,Probably yes,Yes,Extremely comfortable,Extremely important,Yes,Not sure,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably yes,Probably yes,Probably yes,No,British English,Sometimes,Yes,Yes,Definitely yes,Might or might not,Agree,Agree,,Neither disagree nor agree,,30-34,Canada,British Columbia,male,undergraduate degree,First year,BC,0,no,,I don't use social media
Somewhat agree,Definitely not,No,,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Neither unimportant nor important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,Irish English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Neither disagree nor agree,Agree,Agree,Definitely yes,25-29,Canada,Prince Edward Island,male,other (please specify):,Other degree (please specify),PE,0,yes (please specify):,,1-2 hours
Strongly agree,Neutral,No,,Extremely important,Yes,Not sure,,zee,Neither unimportant nor important,Probably yes,Probably not,Probably not,Yes (please specify who):,British English,Sometimes,Yes,No,Definitely yes,Might or might not,Agree,Disagree,Strongly agree,Agree,Probably yes,20-24,Canada,British Columbia,female,graduate degree,Fourth year+,BC,0,yes (please specify):,8,1-2 hours
Agree,Probably yes,No,,Unimportant,Yes,No,,both,Unimportant,Probably yes,Probably not,Definitely yes,Yes (please specify who):,British English,Often,,Yes,Definitely yes,Probably yes,Agree,Neither disagree nor agree,,Strongly agree,Definitely yes,15-19,Canada,Prince Edward Island,female,high school,I am not currently studying,PE,0,no,,4-6 hours
Somewhat agree,Neutral,No,,Important,Yes,Yes,,both,Neither unimportant nor important,Probably yes,Probably yes,Probably yes,No,British English,Sometimes,Yes,Neither yes or no,Definitely yes,Definitely not,Agree,Disagree,Strongly agree,Neither disagree nor agree,Probably not,25-29,Canada,British Columbia,male,undergraduate degree,Second year,BC,0,no,,30 minutes to 1 hour
Agree,Probably not,No,,Important,Yes,No,,both,Important,Probably yes,Probably yes,Probably not,,No particular variety,Don't know,,Yes,Definitely yes,Might or might not,Agree,Disagree,,Disagree,Definitely not,20-24,Canada,British Columbia,female,high school,First year,BC,0,no,,2-4 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Important,Probably yes,Probably yes,Definitely not,No,British English,Sometimes,Yes,Yes,Definitely yes,Might or might not,Strongly agree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Probably yes,20-24,Canada,British Columbia,male,high school,First year,X,6,yes (please specify):,11,2-4 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Unimportant,No,Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Don't know,Probably yes,No,American English,Often,Yes,Yes,Definitely yes,Definitely yes,Strongly disagree,Disagree,Neither disagree nor agree,Agree,Probably yes,20-24,Canada,British Columbia,male,undergraduate degree,Third year,BC,0,no,,2-4 hours
Strongly disagreee,Probably not,Yes,Extremely comfortable,Extremely important,Yes,No,,zed,Important,Probably yes,Probably not,Probably not,Yes (please specify who):,British English,Sometimes,Yes,No,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Agree,Probably yes,20-24,Canada,British Columbia,male,high school,Fourth year+,BC,1,no,,2-4 hours
Strongly agree,Definitely yes,No,,,Yes,No,,both,Important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Agree,Strongly disagree,,Agree,,20-24,Canada,British Columbia,female,other (please specify):,I am in a graduate program,BC,0,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,,Yes,Yes,"Yes, but I can't describe it well",both,Unimportant,Probably not,Probably not,,,British English,Never,No,No,Definitely yes,Definitely yes,Disagree,Strongly disagree,,Strongly disagree,Probably not,20-24,Canada,British Columbia,female,undergraduate degree,Second year,X,3,yes (please specify):,8,2-4 hours
Somewhat agree,Probably not,Yes,Moderately comfortable,Important,Yes,No,,both,Unimportant,Probably not,Probably not,,,British English,Sometimes,No,No,Probably not,Probably yes,Disagree,Disagree,,Disagree,Probably yes,30-34,Canada,British Columbia,female,,Second year,Thailand,0,no,,4-6 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,Yes,No,,both,Unimportant,Might or might not,Don't know,Probably not,No,British English,Often,,Yes,,Probably yes,Strongly agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,30-34,Canada,British Columbia,male,post-graduate degree,Other degree (please specify),HK,4,no,,2-4 hours
Strongly agree,,Yes,Extremely comfortable,,Yes,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably yes,Don't know,Probably yes,,British English,Often,No,Neither yes or no,Definitely not,Definitely yes,Strongly agree,Disagree,,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,female,high school,Second year,South Korea,7,no,,2-4 hours
Strongly agree,Definitely yes,Yes,Moderately uncomfortable,Important,No,No,,zee,Important,Probably yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Disagree,Agree,Agree,Probably yes,20-24,Canada,British Columbia,female,high school,Fourth year+,BC,0,yes (please specify):,6,2-4 hours
Strongly agree,Probably yes,No,,Important,No,No,,zed,Neither unimportant nor important,Definitely yes,Probably yes,,Yes (please specify who):,British English,Never,No,Yes,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,male,high school,First year,BC,0,no,,1-2 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Important,No,Not sure,,zed,Important,Probably yes,Definitely not,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Probably yes,Probably yes,Strongly agree,Disagree,Agree,Disagree,Probably yes,30-34,Canada,British Columbia,male,high school,First year,PH,2,yes (please specify):,7,1-2 hours
Strongly agree,Neutral,Yes,Extremely comfortable,Important,That depends (please also explain if you can),No,,zed,Important,Probably yes,Don't know,Probably not,,British English,Sometimes,Yes,Definitely yes,Might or might not,Definitely yes,Agree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Probably yes,20-24,Canada,British Columbia,female,high school,"Second year,Other degree (please specify)",BC,3,yes (please specify):,8,1-2 hours
Strongly agree,Probably yes,Yes,Neither comfortable nor uncomfortable,,No,No,,zed,Neither unimportant nor important,Definitely not,Probably not,Probably yes,,British English,Sometimes,Yes,No,Probably yes,Definitely yes,Strongly agree,Disagree,Neither disagree nor agree,Neither disagree nor agree,,20-24,Canada,British Columbia,male,high school,First year,BC,2,yes (please specify):,8,4-6 hours
Somewhat agree,Probably yes,Yes,Moderately comfortable,Important,Yes,No,,not sure,Unimportant,Definitely yes,Don't know,Probably yes,No,American English,Sometimes,No,No,Probably not,Might or might not,Disagree,Strongly disagree,,Disagree,Probably yes,25-29,Canada,British Columbia,male,undergraduate degree,First year,China,9,yes (please specify):,11,4-6 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),Yes,,zee,Neither unimportant nor important,Probably yes,Probably not,Definitely not,,Canadian English,Always,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Disagree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,male,high school,First year,X,2,yes (please specify):,5,4-6 hours
Strongly agree,Neutral,Yes,Extremely comfortable,Extremely important,No,Not sure,"Yes, but I can't describe it well",zee,Unimportant,Might or might not,Probably not,,,Canadian English,Sometimes,Yes,Neither yes or no,Definitely not,Probably yes,Neither disagree nor agree,Strongly disagree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,15-19,Canada,British Columbia,female,post-graduate degree,"First year,Second year",BC,0,yes (please specify):,11,4-6 hours
Strongly disagreee,Probably yes,Yes,Moderately comfortable,Important,Yes,No,,zee,Unimportant,Probably yes,Probably yes,Probably not,No,British English,Rarely,,Neither yes or no,Definitely yes,Definitely yes,Strongly agree,Disagree,Strongly agree,Strongly agree,Probably yes,30-34,Canada,British Columbia,male,undergraduate degree,First year,HK,8,no,,2-4 hours
Strongly agree,Definitely not,Yes,Neither comfortable nor uncomfortable,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably yes,Probably not,,Yes (please specify who):,British English,Don't know,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Probably yes,15-19,Canada,British Columbia,male,high school,First year,BC,0,no,,1-2 hours
Agree,Definitely yes,Yes,Moderately comfortable,,Yes,No,,zed,,Might or might not,Don't know,Probably yes,,British English,Sometimes,Yes,Neither yes or no,Probably yes,Probably yes,Agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,30-34,Canada,British Columbia,female,graduate degree,First year,China,8,no,,1-2 hours
Strongly agree,Probably yes,No,,Unimportant,That depends (please also explain if you can),No,,zee,Important,Might or might not,Probably yes,,Yes (please specify who):,British English,Never,,No,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Strongly agree,Definitely yes,15-19,United States,New Jersey,female,high school,First year,US,0,no,,6-8 hours
Strongly disagreee,Definitely yes,No,,Unimportant,Yes,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Neither unimportant nor important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,Canadian English,Often,Yes,Yes,Definitely yes,Might or might not,Agree,Strongly disagree,Agree,Neither disagree nor agree,Probably yes,30-34,Canada,British Columbia,female,undergraduate degree,First year,BC,0,yes (please specify):,6,4-6 hours
Agree,Neutral,Yes,Moderately uncomfortable,Important,Yes,Not sure,,both,Neither unimportant nor important,Probably not,Probably yes,Definitely not,Yes (please specify who):,British English,Rarely,No,Neither yes or no,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Probably yes,15-19,Canada,British Columbia,male,high school,First year,South Korea,6,no,,1-2 hours
Strongly agree,Probably yes,Yes,Moderately uncomfortable,Unimportant,No,Yes,"Yes, but I can't describe it well",zed,Very unimportant,Might or might not,Probably yes,Probably not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Probably yes,Might or might not,Disagree,Disagree,Agree,Neither disagree nor agree,Probably yes,25-29,Canada,British Columbia,male,high school,First year,AB,3,no,,1-2 hours
Strongly agree,Probably yes,No,,Important,Yes,Yes,,zed,Important,Probably yes,Probably yes,Probably not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Definitely yes,60-64,Canada,Prince Edward Island,female,undergraduate degree,I am not currently studying,UK,0,yes (please specify):,7,less than 30 minutes
Agree,Definitely not,No,,Important,Yes,No,,zed,Very unimportant,Definitely not,Definitely not,Probably not,No,Jamaican English,Always,No,Definitely not,Definitely not,Definitely not,Agree,Strongly disagree,Disagree,Agree,Probably not,20-24,Canada,British Columbia,male,high school,First year,BC,6,yes (please specify):,0,less than 30 minutes
Strongly agree,Definitely yes,Yes,Moderately uncomfortable,Unimportant,Yes,No,,both,Important,Definitely yes,Probably not,Definitely not,Yes (please specify who):,American English,Often,,Neither yes or no,Definitely yes,Probably yes,Strongly agree,Disagree,Neither disagree nor agree,Agree,Probably yes,20-24,Canada,British Columbia,female,high school,First year,X,2,yes (please specify):,2,2-4 hours
Strongly agree,Probably yes,Yes,Neither comfortable nor uncomfortable,,,No,,zed,Important,Definitely not,Probably not,,Yes (please specify who):,British English,Rarely,,Neither yes or no,,Definitely yes,Agree,Agree,Neither disagree nor agree,Neither disagree nor agree,Probably not,20-24,Canada,British Columbia,female,high school,First year,Uganda,3,yes (please specify):,7,1-2 hours
Agree,Definitely not,Yes,Neither comfortable nor uncomfortable,Unimportant,No,Not sure,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Might or might not,Probably not,Probably not,,British English,Often,,Neither yes or no,Probably not,Probably yes,Neither disagree nor agree,Disagree,Disagree,Agree,Probably yes,15-19,India,,female,high school,First year,India,3,no,,4-6 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,No,No,,zed,Very important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Agree,Disagree,Agree,Strongly agree,Probably yes,20-24,Canada,British Columbia,male,undergraduate degree,First year,BC,0,yes (please specify):,10,6-8 hours
Agree,Probably yes,Yes,Moderately comfortable,Extremely important,Yes,No,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,No,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Strongly agree,Probably yes,30-34,Canada,British Columbia,male,undergraduate degree,Fourth year+,X,0,no,,I don't use social media
Strongly agree,Probably not,Yes,Moderately comfortable,Important,No,No,,zed,Very unimportant,Probably not,Probably yes,Probably not,No,British English,Rarely,No,No,Probably not,Probably yes,Agree,Disagree,Neither disagree nor agree,Agree,Probably not,40-44,Canada,British Columbia,male,undergraduate degree,Other degree (please specify),HK,6,yes (please specify):,8,1-2 hours
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),No,,both,Unimportant,Probably not,Probably not,Probably not,No,No particular variety,Rarely,No,Neither yes or no,Probably yes,Probably yes,Agree,Disagree,Agree,Neither disagree nor agree,Probably not,25-29,Canada,British Columbia,male,undergraduate degree,Other degree (please specify),BC,7,yes (please specify):,5,2-4 hours
Strongly agree,Definitely yes,Yes,Moderately uncomfortable,Important,That depends (please also explain if you can),No,,both,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Strongly agree,Neither disagree nor agree,Definitely yes,30-34,Canada,Prince Edward Island,female,undergraduate degree,I am not currently studying,PE,1,no,,1-2 hours
Agree,Definitely yes,No,,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Important,Probably not,Definitely yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Disagree,Disagree,Agree,Disagree,Probably yes,50-54,Canada,British Columbia,female,post-graduate degree,I am not currently studying,BC,0,yes (please specify):,12,2-4 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Unimportant,Yes,No,,zed,Unimportant,Probably not,Definitely yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,No,Probably yes,Probably yes,Disagree,Strongly disagree,Agree,Neither disagree nor agree,Probably yes,20-24,Canada,British Columbia,female,high school,Third year,ON,3,yes (please specify):,11,more than 8 hours
Agree,Definitely yes,Yes,Neither comfortable nor uncomfortable,,No,Not sure,,both,Very important,Definitely yes,Probably yes,Probably not,,Canadian English,Rarely,Yes,Don't know,Probably yes,Probably yes,Strongly agree,Agree,Neither disagree nor agree,Agree,Probably yes,14 and under,Canada,British Columbia,female,elementary school,I am not currently studying,BC,5,yes (please specify):,4,30 minutes to 1 hour
Agree,Definitely yes,Yes,Neither comfortable nor uncomfortable,Important,Yes,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably yes,Probably not,Probably not,Yes (please specify who):,British English,Sometimes,,Neither yes or no,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Neither disagree nor agree,Agree,Probably yes,35-39,Canada,Ontario,female,graduate degree,I am not currently studying,ON,0,no,,30 minutes to 1 hour
Somewhat agree,Definitely not,No,,Extremely unimportant,No,No,,both,Neither unimportant nor important,Probably not,Probably yes,Probably not,No,British English,Rarely,,Neither yes or no,Definitely yes,Probably yes,Agree,Disagree,Agree,Disagree,Probably yes,15-19,Canada,Alberta,male,high school,I am not currently studying,AB,0,no,,2-4 hours
Strongly agree,Neutral,Yes,Moderately comfortable,,That depends (please also explain if you can),No,,zee,Important,Probably yes,Definitely not,Probably not,Yes (please specify who):,No particular variety,Never,Yes,Neither yes or no,Probably yes,Probably yes,Disagree,Disagree,Agree,Disagree,Probably not,40-44,Canada,Ontario,female,graduate degree,I am not currently studying,NB,0,no,,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,Yes,No,,zee,Very important,Definitely yes,Probably not,Definitely not,Yes (please specify who):,British English,Rarely,No,Neither yes or no,Definitely yes,Probably not,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Definitely yes,40-44,Canada,Ontario,female,graduate degree,I am not currently studying,NL,0,no,,2-4 hours
Strongly agree,Probably not,Yes,Moderately comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Don't know,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Definitely yes,35-39,Canada,Ontario,male,graduate degree,I am not currently studying,MB,2,no,,I don't use social media
Strongly agree,Definitely yes,No,,Extremely important,No,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,,Disagree,Probably yes,55-59,Canada,Manitoba,female,other (please specify):,I am not currently studying,MB,0,no,,1-2 hours
Agree,Definitely yes,No,,Important,That depends (please also explain if you can),Not sure,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Probably not,No,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,45-49,Canada,Ontario,female,high school,I am not currently studying,ON,0,no,,1-2 hours
Strongly agree,Neutral,Yes,Extremely comfortable,Unimportant,Yes,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Neither unimportant nor important,Might or might not,Definitely yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,No,Definitely not,Probably yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Definitely yes,25-29,Canada,Quebec,male,post-graduate degree,I am not currently studying,ON,5,no,,less than 30 minutes
Strongly agree,Neutral,Yes,Extremely comfortable,Unimportant,No,No,,both,Important,Probably yes,Probably not,Definitely not,Yes (please specify who):,British English,Sometimes,No,No,Definitely yes,Might or might not,Agree,Neither disagree nor agree,Disagree,Disagree,Probably yes,40-44,Canada,Ontario,male,undergraduate degree,I am not currently studying,AB,0,no,,2-4 hours
Strongly agree,Neutral,No,,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",both,Neither unimportant nor important,,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Disagree,Agree,Strongly disagree,Definitely yes,25-29,Canada,Saskatchewan,male,high school,I am not currently studying,SK,1,yes (please specify):,5,2-4 hours
Strongly agree,Definitely yes,No,,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Probably yes,Disagree,Disagree,Strongly agree,Strongly agree,Definitely yes,60-64,Canada,Manitoba,female,undergraduate degree,I am not currently studying,MB,0,no,,1-2 hours
Agree,Neutral,No,,Unimportant,Yes,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Might or might not,Probably not,Definitely not,,British English,Sometimes,,No,Might or might not,Probably not,Strongly disagree,Strongly disagree,Agree,Neither disagree nor agree,Definitely not,25-29,Canada,Newfoundland and Labrador,male,undergraduate degree,I am not currently studying,NL,0,yes (please specify):,6,1-2 hours
Strongly disagreee,Probably yes,Yes,Extremely comfortable,Extremely important,Yes,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Definitely yes,,Yes (please specify who):,No particular variety,Often,Yes,Definitely yes,Probably yes,Probably yes,Agree,Agree,,Neither disagree nor agree,Definitely yes,65-69,Canada,British Columbia,female,graduate degree,I am not currently studying,BC,0,no,,less than 30 minutes
Strongly agree,Probably yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Important,Probably yes,Probably not,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Agree,Strongly agree,Agree,Definitely yes,30-34,China,,male,undergraduate degree,I am not currently studying,ON,4,yes (please specify):,7,6-8 hours
Strongly agree,Neutral,No,,Important,Yes,Not sure,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Definitely yes,Definitely yes,Definitely not,,No particular variety,Often,Yes,No,Probably yes,Probably yes,Disagree,Disagree,Agree,Strongly disagree,Probably yes,35-39,Canada,Ontario,female,undergraduate degree,I am not currently studying,ON,0,no,,30 minutes to 1 hour
Somewhat agree,Neutral,No,,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,No particular variety,Always,Yes,Definitely not,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,,,Definitely yes,25-29,Canada,British Columbia,male,other (please specify):,I am not currently studying,BC,0,no,,I don't use social media
Agree,Probably yes,No,,Unimportant,Yes,No,,zee,Very unimportant,Probably not,Don't know,Probably not,No,British English,Often,,Neither yes or no,,Probably yes,Strongly agree,Strongly disagree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,35-39,Canada,British Columbia,male,undergraduate degree,I am not currently studying,AB,0,no,,2-4 hours
Strongly disagreee,,No,,Extremely important,,Yes,"Yes, but I can't describe it well",zed,Very unimportant,Definitely yes,Probably yes,Probably not,,British English,Often,,Neither yes or no,Might or might not,Definitely yes,Disagree,Disagree,Agree,Agree,Definitely yes,45-49,Canada,Ontario,male,undergraduate degree,I am not currently studying,MB,6,no,,1-2 hours
Agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),No,,zee,Important,Definitely yes,Probably yes,Definitely not,,No particular variety,Sometimes,Yes,Neither yes or no,Definitely yes,Probably yes,Strongly agree,Disagree,Agree,Neither disagree nor agree,Probably not,20-24,Canada,Ontario,female,undergraduate degree,I am not currently studying,ON,0,yes (please specify):,4,6-8 hours
Don't know,Definitely not,Yes,Neither comfortable nor uncomfortable,Extremely important,Yes,Yes,"Yes, but I can't describe it well",zed,Very unimportant,Definitely yes,Definitely yes,Definitely not,,Canadian English,Often,Yes,Definitely yes,Definitely yes,Probably not,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Definitely yes,40-44,Canada,Ontario,male,undergraduate degree,I am not currently studying,SK,0,no,,1-2 hours
,Definitely not,Yes,Neither comfortable nor uncomfortable,,That depends (please also explain if you can),No,,both,Neither unimportant nor important,Definitely not,Definitely not,Definitely yes,Yes (please specify who):,,Sometimes,No,No,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Strongly agree,Definitely not,35-39,Canada,British Columbia,male,other (please specify):,I am not currently studying,BC,0,yes (please specify):,6,I don't use social media
