cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
strongly agree,neutral,yes,moderately comfortable,important,yes,no,,both,neither unimportant nor important,probably not,probably yes,probably not,no,no particular variety,sometimes,yes,yes,might or might not,probably not,strongly agree,strongly agree,strongly agree,strongly agree,probably yes,54,canada,new brunswick,female,other ,i am not currently studying,nb,2,no,,less than 30 minutes,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly agree,probably yes,34,canada,new brunswick,female,high school,third year,nb,4,yes ,8,less than 30 minutes,3
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,both,very important,definitely yes,probably not,probably not,,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,29,canada,new brunswick,female,undergraduate degree,i am not currently studying,nb,0,no,,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,no,canadian english,always,yes,yes,definitely yes,might or might not,strongly agree,strongly agree,strongly agree,agree,definitely yes,49,canada,ontario,male,graduate degree,i am not currently studying,on,0,yes ,9,less than 30 minutes,4
strongly agree,definitely yes,yes,moderately comfortable,,no,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,strongly disagree,neither disagree nor agree,strongly disagree,probably yes,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,4,yes ,8,46 hours,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,not sure,yes but i cant describe it well,both,important,definitely yes,,probably not,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,agree,agree,probably yes,34,canada,prince edward island,female,graduate degree,i am not currently studying,qc,9,no,,24 hours,3
strongly agree,neutral,yes,moderately comfortable,important,,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,no,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,new brunswick,female,undergraduate degree,i am not currently studying,nb,1,no,,24 hours,3
strongly agree,probably yes,no,,,no,no,,zee,unimportant,probably yes,probably not,probably not,yes ,british english,rarely,yes,yes,probably yes,might or might not,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,british columbia,female,high school,fourth year+,on,0,yes ,,24 hours,3
agree,probably not,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably not,no,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,54,canada,new brunswick,male,postgraduate degree,i am not currently studying,nb,0,yes ,5,24 hours,3
strongly agree,definitely yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,,no particular variety,often,yes,yes,probably yes,definitely yes,agree,agree,agree,agree,probably yes,44,canada,new brunswick,male,undergraduate degree,i am not currently studying,nb,4,no,,12 hours,3
agree,probably yes,no,,important,that depends ,no,,both,neither unimportant nor important,probably not,probably not,probably yes,,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,29,canada,british columbia,female,high school,i am not currently studying,bc,0,no,,24 hours,3
strongly agree,probably not,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,probably yes,definitely not,definitely not,,british english,sometimes,yes,definitely yes,might or might not,probably not,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably not,49,canada,ontario,female,undergraduate degree,i am not currently studying,nb,0,no,,30 minutes to 1 hour,2
agree,probably yes,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,,canadian english,often,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,24,canada,new brunswick,male,postgraduate degree,i am not currently studying,nb,4,no,,24 hours,3
strongly disagreee,probably not,no,,extremely important,yes,no,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,49,canada,prince edward island,female,undergraduate degree,other degree ,on,1,yes ,0,30 minutes to 1 hour,3
strongly agree,probably yes,yes,extremely comfortable,extremely important,that depends ,no,,zed,very important,definitely yes,probably yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,strongly agree,probably yes,49,canada,new brunswick,female,undergraduate degree,i am not currently studying,nb,2,no,,30 minutes to 1 hour,3
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,no,no particular variety,often,yes,yes,definitely yes,might or might not,agree,agree,agree,disagree,probably yes,54,canada,new brunswick,male,graduate degree,i am not currently studying,nb,5,no,,30 minutes to 1 hour,3
agree,probably yes,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,agree,probably yes,39,canada,new brunswick,male,high school,i am not currently studying,nb,1,no,,30 minutes to 1 hour,3
strongly agree,neutral,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably not,no,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,,neither disagree nor agree,probably yes,34,canada,new brunswick,male,postgraduate degree,i am not currently studying,nb,1,no,,30 minutes to 1 hour,3
strongly agree,probably not,no,,important,yes,no,yes i do know it is ,both,important,might or might not,probably not,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,strongly disagree,strongly agree,strongly disagree,probably not,49,canada,nova scotia,female,undergraduate degree,i am not currently studying,ns,0,no,,46 hours,2
strongly agree,neutral,yes,extremely comfortable,extremely unimportant,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,no particular variety,often,,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,strongly disagree,strongly agree,strongly agree,definitely yes,39,canada,british columbia,female,graduate degree,i am in a graduate program,bc,0,no,,46 hours,4
strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,agree,neither disagree nor agree,agree,agree,definitely yes,39,canada,british columbia,female,graduate degree,i am not currently studying,bc,0,yes ,9,12 hours,4
strongly disagreee,definitely yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,both,unimportant,probably yes,definitely not,probably yes,yes ,canadian english,always,no,yes,definitely yes,definitely yes,agree,agree,agree,agree,definitely not,59,canada,british columbia,male,high school,i am not currently studying,qc,2,yes ,15,24 hours,1
strongly agree,probably not,yes,extremely comfortable,,no,not sure,,zed,neither unimportant nor important,,probably not,probably yes,no,british english,sometimes,,,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,definitely yes,44,canada,prince edward island,male,undergraduate degree,i am not currently studying,ns,0,no,,12 hours,4
strongly agree,probably yes,yes,extremely comfortable,,no,no,,zed,important,probably yes,probably yes,definitely not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,probably yes,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,4,yes ,10,68 hours,3
strongly agree,definitely yes,yes,extremely comfortable,extremely unimportant,no,no,,zed,neither unimportant nor important,probably yes,definitely not,,yes ,british english,never,yes,yes,definitely not,probably not,agree,strongly disagree,agree,agree,probably not,24,canada,british columbia,female,high school,fourth year+,bc,6,yes ,7,24 hours,2
strongly agree,neutral,no,,extremely important,no,yes,yes i do know it is ,both,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,probably yes,probably yes,agree,agree,agree,agree,probably yes,29,canada,prince edward island,female,graduate degree,i am not currently studying,nb,0,yes ,12,i dont use social media,3
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,probably not,definitely not,,no particular variety,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,59,canada,british columbia,male,postgraduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,4
agree,probably yes,no,,unimportant,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,,disagree,disagree,agree,disagree,definitely yes,64,canada,ontario,male,graduate degree,i am not currently studying,on,0,yes ,12,less than 30 minutes,4
strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,yes,yes but i cant describe it well,zed,important,might or might not,probably yes,,,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,19,canada,ontario,female,elementary school,other degree ,on,0,no,,46 hours,3
strongly agree,definitely yes,yes,extremely comfortable,,no,no,,zed,very unimportant,probably not,probably yes,definitely not,no,british english,rarely,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,probably yes,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,2,yes ,3,46 hours,3
strongly agree,probably yes,no,,important,that depends ,no,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,,british english,often,yes,,definitely yes,definitely not,neither disagree nor agree,disagree,,disagree,probably yes,44,canada,prince edward island,female,high school,other degree ,mb,0,no,,46 hours,3
strongly agree,definitely yes,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,strongly agree,agree,strongly agree,strongly agree,definitely yes,24,canada,british columbia,male,undergraduate degree,fourth year+,bc,4,yes ,9,68 hours,4
agree,definitely yes,no,,extremely important,yes,yes,,zed,very important,probably yes,probably yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,agree,probably yes,74,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,no,,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,both,very important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,neither disagree nor agree,disagree,neither disagree nor agree,disagree,probably yes,24,canada,british columbia,female,high school,third year,bc,4,yes ,9,46 hours,3
strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,rarely,yes,definitely yes,definitely yes,might or might not,agree,disagree,strongly agree,disagree,definitely yes,34,canada,british columbia,female,undergraduate degree,fourth year+,yt,0,no,,12 hours,4
strongly agree,probably yes,no,,unimportant,no,yes,yes but i cant describe it well,zed,very unimportant,probably not,probably not,probably not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,might or might not,strongly disagree,strongly disagree,,strongly disagree,definitely not,19,canada,british columbia,male,high school,third year,bc,0,yes ,8,12 hours,1
agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,both,neither unimportant nor important,probably not,,probably not,yes ,british english,sometimes,yes,,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,3,yes ,11,46 hours,3
strongly disagreee,definitely yes,no,,,that depends ,no,,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,no particular variety,rarely,yes,no,definitely yes,might or might not,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably not,24,canada,british columbia,other,other ,fourth year+,ab,0,yes ,8,i dont use social media,2
strongly disagreee,probably yes,no,,important,no,no,,zed,important,probably yes,probably not,probably not,yes ,british english,sometimes,yes,definitely yes,probably yes,probably yes,agree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,third year,bc,0,yes ,9,46 hours,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,probably yes,probably yes,agree,agree,strongly agree,agree,definitely yes,49,canada,ontario,female,undergraduate degree,i am not currently studying,on,2,no,,24 hours,4
strongly agree,neutral,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,definitely yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,49,canada,ontario,female,graduate degree,i am not currently studying,on,0,no,,less than 30 minutes,4
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,definitely yes,probably not,yes ,no particular variety,rarely,yes,definitely yes,definitely yes,definitely yes,disagree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,third year,bc,1,no,,24 hours,3
strongly agree,probably yes,no,,important,yes,yes,yes but i cant describe it well,zee,unimportant,might or might not,probably not,definitely not,no,british english,often,yes,neither yes or no,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,prince edward island,male,graduate degree,i am not currently studying,on,0,no,,less than 30 minutes,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,strongly disagree,disagree,agree,probably yes,24,canada,british columbia,female,undergraduate degree,i am in a graduate program,bc,8,yes ,9,46 hours,3
agree,probably yes,yes,moderately comfortable,,yes,yes,yes but i cant describe it well,zed,unimportant,,probably not,definitely not,yes ,no particular variety,sometimes,,yes,definitely yes,probably yes,strongly disagree,strongly disagree,agree,strongly disagree,probably yes,44,canada,british columbia,male,graduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,3
agree,probably yes,yes,extremely comfortable,,no,yes,yes but i cant describe it well,zee,unimportant,might or might not,,probably yes,,no particular variety,often,no,neither yes or no,definitely yes,probably yes,neither disagree nor agree,strongly disagree,strongly disagree,disagree,probably yes,19,canada,british columbia,male,elementary school,i am not currently studying,bc,9,yes ,13,24 hours,3
strongly agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,neither yes or no,probably yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,british columbia,female,high school,fourth year+,on,2,yes ,5,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,definitely yes,definitely yes,yes ,other ,sometimes,yes,yes,probably yes,definitely yes,neither disagree nor agree,strongly disagree,agree,neither disagree nor agree,probably yes,54,canada,nova scotia,female,undergraduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,3
strongly agree,definitely yes,no,,extremely important,yes,not sure,,zed,very unimportant,definitely yes,definitely yes,definitely yes,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,agree,agree,agree,definitely yes,59,canada,nova scotia,female,postgraduate degree,i am not currently studying,nb,0,no,,12 hours,4
strongly agree,probably yes,yes,extremely comfortable,important,yes,no,,zed,very important,definitely yes,definitely yes,probably not,no,british english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,probably yes,49,canada,nova scotia,male,postgraduate degree,i am not currently studying,sk,0,no,,30 minutes to 1 hour,3
strongly agree,probably yes,yes,moderately uncomfortable,important,that depends ,not sure,,zed,very important,definitely yes,probably not,definitely not,,british english,sometimes,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,disagree,strongly agree,agree,probably yes,39,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,0,yes ,0,46 hours,3
strongly agree,probably yes,yes,moderately comfortable,,no,no,yes but i cant describe it well,both,unimportant,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,strongly disagree,agree,strongly agree,probably yes,24,canada,british columbia,female,high school,third year,bc,2,yes ,0,46 hours,3
strongly agree,definitely yes,no,,extremely important,yes,no,,both,very important,,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,agree,agree,,neither disagree nor agree,definitely yes,54,canada,nova scotia,male,undergraduate degree,i am not currently studying,ns,0,no,,24 hours,4
strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,both,important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably not,59,canada,nova scotia,female,other ,i am not currently studying,ns,0,no,,24 hours,2
strongly agree,probably yes,yes,moderately uncomfortable,important,no,no,,zed,important,probably yes,probably not,,,no particular variety,sometimes,yes,yes,probably yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,74,canada,nova scotia,female,graduate degree,i am not currently studying,ns,0,no,,30 minutes to 1 hour,3
agree,probably yes,no,,important,yes,not sure,,zed,neither unimportant nor important,probably yes,probably yes,probably not,,british english,sometimes,yes,neither yes or no,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,69,canada,nova scotia,male,graduate degree,i am not currently studying,on,3,no,,24 hours,3
strongly agree,probably not,no,,extremely important,no,not sure,,zee,very important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably not,54,canada,nova scotia,female,graduate degree,i am not currently studying,ns,0,no,,12 hours,2
strongly agree,definitely yes,yes,moderately uncomfortable,extremely unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,,yes,probably yes,probably yes,agree,disagree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,third year,bc,0,no,,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,,no,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,might or might not,might or might not,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,24,canada,ontario,male,high school,fourth year+,on,2,yes ,10,46 hours,3
strongly agree,probably yes,yes,moderately uncomfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably not,yes ,other ,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,69,canada,ontario,male,undergraduate degree,i am not currently studying,on,0,yes ,5,less than 30 minutes,4
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,,zee,unimportant,,definitely not,,no,british english,never,,no,probably not,probably yes,agree,disagree,strongly agree,strongly agree,probably not,19,canada,british columbia,female,high school,second year,bc,3,yes ,4,24 hours,2
strongly agree,probably yes,yes,moderately comfortable,,no,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably yes,probably not,no,no particular variety,rarely,,yes,probably not,probably yes,neither disagree nor agree,disagree,,neither disagree nor agree,probably yes,19,canada,british columbia,female,high school,second year,ab,4,yes ,1,24 hours,3
strongly agree,probably not,yes,extremely uncomfortable,extremely important,yes,yes,yes but i cant describe it well,zee,unimportant,definitely not,probably not,definitely not,,british english,always,yes,neither yes or no,definitely yes,definitely yes,strongly agree,strongly agree,neither disagree nor agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,0,no,,24 hours,3
agree,,yes,moderately uncomfortable,,yes,no,,zed,,probably yes,definitely not,definitely not,yes ,no particular variety,often,yes,,probably yes,probably yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,29,canada,british columbia,female,graduate degree,i am in a graduate program,on,2,yes ,5,12 hours,3
agree,probably yes,no,,important,that depends ,no,,zee,unimportant,probably not,probably yes,definitely not,yes ,american english,sometimes,yes,,definitely yes,definitely yes,disagree,disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,no,,24 hours,3
agree,probably yes,no,,important,that depends ,,yes i do know it is ,both,important,probably yes,definitely yes,definitely not,,british english,sometimes,yes,yes,probably not,might or might not,neither disagree nor agree,disagree,agree,agree,probably yes,24,canada,nova scotia,male,undergraduate degree,other degree ,ns,0,no,,24 hours,3
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,yes,not sure,yes but i cant describe it well,zed,very important,probably yes,definitely yes,probably yes,yes ,british english,always,,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,probably yes,29,canada,nova scotia,male,graduate degree,i am not currently studying,ns,0,yes ,6,12 hours,3
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,probably yes,probably not,definitely not,no,british english,often,no,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,84,canada,prince edward island,male,graduate degree,i am not currently studying,on,0,yes ,15,i dont use social media,3
strongly agree,probably yes,no,,extremely important,yes,yes,,zee,very unimportant,probably not,probably yes,definitely not,yes ,british english,often,no,no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,definitely yes,24,canada,nova scotia,male,high school,third year,ns,0,no,,24 hours,4
somewhat agree,probably yes,no,,important,yes,no,,zed,important,definitely yes,probably yes,probably not,,british english,sometimes,no,yes,probably yes,probably yes,strongly agree,disagree,agree,disagree,probably yes,64,canada,ontario,male,postgraduate degree,i am not currently studying,on,0,no,,i dont use social media,3
strongly agree,probably yes,yes,extremely comfortable,extremely important,no,no,,zee,unimportant,probably not,probably yes,probably yes,yes ,british english,often,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,agree,probably not,54,canada,ontario,female,undergraduate degree,i am not currently studying,on,2,yes ,5,less than 30 minutes,2
strongly agree,probably yes,yes,extremely comfortable,,that depends ,no,,zee,unimportant,definitely not,,definitely not,no,no particular variety,,,yes,definitely yes,probably yes,agree,strongly disagree,agree,agree,probably not,24,canada,british columbia,male,undergraduate degree,second yearother degree ,bc,5,no,,24 hours,2
agree,probably not,no,,important,yes,not sure,yes but i cant describe it well,zed,important,probably yes,,definitely not,,british english,sometimes,,yes,definitely yes,probably yes,agree,disagree,,agree,probably yes,24,canada,british columbia,female,high school,second year,bc,0,no,,46 hours,3
agree,probably not,yes,moderately comfortable,important,no,yes,,zee,important,probably yes,probably not,probably not,no,singaporean english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,agree,disagree,probably yes,19,canada,british columbia,female,high school,first year,bc,4,yes ,5,24 hours,3
somewhat agree,definitely yes,yes,moderately uncomfortable,unimportant,yes,no,,zee,neither unimportant nor important,definitely not,probably not,,no,no particular variety,,yes,definitely yes,probably not,definitely yes,disagree,disagree,agree,disagree,definitely not,19,canada,british columbia,male,high school,first year,bc,6,no,,i dont use social media,1
agree,neutral,yes,moderately comfortable,,no,no,,zee,unimportant,,definitely not,probably not,,american english,sometimes,,,definitely yes,might or might not,neither disagree nor agree,disagree,neither disagree nor agree,neither disagree nor agree,probably not,19,canada,british columbia,male,high school,first year,bc,4,yes ,3,68 hours,2
strongly agree,definitely yes,no,,important,no,not sure,,zed,neither unimportant nor important,probably not,probably not,definitely not,yes ,british english,sometimes,,neither yes or no,definitely yes,probably yes,agree,strongly disagree,agree,agree,probably yes,34,canada,british columbia,male,postgraduate degree,i am not currently studying,nl,0,no,,12 hours,3
strongly agree,neutral,no,,important,that depends ,no,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably not,probably not,yes ,british english,often,no,,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,definitely yes,59,canada,ontario,male,undergraduate degree,i am not currently studying,qc,0,yes ,10,less than 30 minutes,4
strongly agree,definitely yes,yes,moderately comfortable,extremely important,that depends ,no,,both,neither unimportant nor important,probably yes,definitely yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,strongly agree,definitely yes,54,canada,british columbia,male,postgraduate degree,i am not currently studying,bc,0,no,,24 hours,4
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,both,important,definitely yes,,probably not,yes ,british english,rarely,yes,neither yes or no,probably yes,definitely yes,agree,agree,,neither disagree nor agree,probably yes,19,canada,british columbia,female,high school,second year,bc,2,yes ,0,,3
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably not,probably not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,ab,0,no,,12 hours,3
agree,probably yes,yes,neither comfortable nor uncomfortable,unimportant,that depends ,no,,zed,neither unimportant nor important,,probably yes,probably yes,no,british english,sometimes,yes,,definitely yes,definitely yes,disagree,disagree,disagree,neither disagree nor agree,probably yes,39,canada,nova scotia,male,undergraduate degree,i am not currently studying,ns,0,no,,12 hours,3
somewhat agree,definitely not,no,,important,that depends ,yes,yes i do know it is ,both,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,irish english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,agree,agree,definitely yes,29,canada,prince edward island,male,other ,other degree ,pe,0,yes ,,12 hours,4
strongly agree,neutral,no,,extremely important,yes,not sure,,zee,neither unimportant nor important,probably yes,probably not,probably not,yes ,british english,sometimes,yes,no,definitely yes,might or might not,agree,disagree,strongly agree,agree,probably yes,24,canada,british columbia,female,graduate degree,fourth year+,bc,0,yes ,8,12 hours,3
agree,probably yes,no,,unimportant,yes,no,,both,unimportant,probably yes,probably not,definitely yes,yes ,british english,often,,yes,definitely yes,probably yes,agree,neither disagree nor agree,,strongly agree,definitely yes,19,canada,prince edward island,female,high school,i am not currently studying,pe,0,no,,46 hours,4
somewhat agree,neutral,no,,important,yes,yes,,both,neither unimportant nor important,probably yes,probably yes,probably yes,no,british english,sometimes,yes,neither yes or no,definitely yes,definitely not,agree,disagree,strongly agree,neither disagree nor agree,probably not,29,canada,british columbia,male,undergraduate degree,second year,bc,0,no,,30 minutes to 1 hour,2
agree,probably not,no,,important,yes,no,,both,important,probably yes,probably yes,probably not,,no particular variety,,,yes,definitely yes,might or might not,agree,disagree,,disagree,definitely not,24,canada,british columbia,female,high school,first year,bc,0,no,,24 hours,1
strongly agree,definitely yes,yes,extremely comfortable,unimportant,no,yes,yes but i cant describe it well,zed,important,definitely yes,,probably yes,no,american english,often,yes,yes,definitely yes,definitely yes,strongly disagree,disagree,neither disagree nor agree,agree,probably yes,24,canada,british columbia,male,undergraduate degree,third year,bc,0,no,,24 hours,3
strongly disagreee,probably not,yes,extremely comfortable,extremely important,yes,no,,zed,important,probably yes,probably not,probably not,yes ,british english,sometimes,yes,no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,24,canada,british columbia,male,high school,fourth year+,bc,1,no,,24 hours,3
strongly agree,definitely yes,yes,moderately uncomfortable,important,no,no,,zee,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,disagree,agree,agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,6,24 hours,3
