cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
agree,probably yes,no,,important,,not sure,,both,important,definitely yes,probably yes,definitely not,,british english,rarely,yes,yes,probably yes,probably yes,agree,agree,agree,neither disagree nor agree,probably yes,29,canada,alberta,female,other ,i am not currently studying,ab,0,no,,12 hours,3
agree,definitely not,yes,neither comfortable nor uncomfortable,important,yes,yes,yes i do know it is ,both,very important,definitely yes,definitely yes,definitely not,,other ,often,,yes,probably yes,definitely yes,agree,agree,disagree,disagree,definitely yes,34,canada,prince edward island,female,undergraduate degree,i am not currently studying,on,4,yes ,9,less than 30 minutes,4
strongly agree,probably yes,no,,extremely unimportant,yes,not sure,,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,59,canada,manitoba,female,graduate degree,i am not currently studying,mb,0,yes ,3,less than 30 minutes,3
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,strongly disagree,disagree,agree,agree,probably yes,29,canada,british columbia,other,undergraduate degree,second yeari am in a graduate program,ns,2,yes ,0,30 minutes to 1 hour,3
strongly agree,probably yes,no,,extremely important,no,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,39,canada,alberta,female,high school,i am not currently studying,bc,0,yes ,1,12 hours,4
strongly agree,probably yes,yes,neither comfortable nor uncomfortable,,no,not sure,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,definitely not,no,british english,often,yes,yes,definitely yes,might or might not,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,74,canada,british columbia,male,graduate degree,i am not currently studying,bc,0,no,,24 hours,4
strongly disagreee,definitely yes,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,often,no,neither yes or no,definitely yes,definitely yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,49,canada,british columbia,male,undergraduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,3
agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,probably yes,,other ,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,4,no,,i dont use social media,3
agree,definitely yes,yes,extremely comfortable,important,yes,no,,zee,unimportant,probably yes,probably yes,definitely not,,british english,often,yes,yes,definitely yes,probably yes,agree,strongly agree,agree,disagree,probably yes,69,canada,quebec,female,postgraduate degree,i am not currently studying,qc,6,no,,24 hours,3
strongly agree,probably yes,yes,moderately uncomfortable,important,yes,no,,zee,neither unimportant nor important,definitely not,probably not,definitely not,no,british english,sometimes,no,no,definitely yes,definitely yes,strongly agree,strongly disagree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,new brunswick,female,undergraduate degree,i am not currently studying,nb,0,no,,24 hours,3
