cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
agree,probably not,no,,unimportant,yes,no,,both,very unimportant,definitely not,probably yes,definitely not,yes ,no particular variety,sometimes,no,no,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,strongly disagree,probably yes,34,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,12 hours,1,3,3,1,1,3.66666666666667,3.66666666666667,2.33333333333333
strongly agree,probably not,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,29,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,no,,12 hours,4,4,4,4,4,5,5,4.5
strongly agree,probably yes,yes,moderately uncomfortable,important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,probably yes,probably not,no,british english,often,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,34,canada,alberta,female,postgraduate degree,i am not currently studying,ab,2,no,,46 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,definitely yes,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably not,probably yes,disagree,agree,,neither disagree nor agree,probably yes,54,canada,alberta,female,postgraduate degree,first year,ab,4,no,,24 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
agree,neutral,no,,,yes,no,,zed,important,definitely yes,probably not,probably not,no,canadian english,sometimes,yes,yes,probably not,might or might not,strongly disagree,disagree,strongly disagree,disagree,,39,canada,manitoba,male,undergraduate degree,i am not currently studying,mb,0,yes ,11,24 hours,5,2,,4,5,2.33333333333333,,3.77777777777778
strongly disagreee,definitely yes,no,,extremely important,yes,yes,yes but i cant describe it well,both,important,probably yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,39,canada,alberta,female,graduate degree,i am in a graduate program,bc,0,no,,30 minutes to 1 hour,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,29,canada,alberta,female,postgraduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,3,3,3,4,3,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,definitely not,no,,extremely important,yes,yes,,zed,very important,definitely yes,probably yes,probably not,no,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,44,canada,alberta,female,undergraduate degree,i am not currently studying,on,0,no,,24 hours,5,3,4,5,5,3.66666666666667,5,4.66666666666667
agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,agree,probably yes,34,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,less than 30 minutes,4,4,3,4,4,5,3.66666666666667,4.16666666666667
strongly agree,probably not,yes,extremely comfortable,important,no,no,,both,important,probably yes,probably not,definitely not,yes ,british english,often,no,definitely not,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,definitely yes,54,canada,alberta,male,postgraduate degree,i am not currently studying,ab,0,yes ,3,24 hours,4,2,4,4,4,2.33333333333333,5,3.83333333333333
agree,probably yes,yes,moderately comfortable,important,yes,not sure,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,no,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,strongly agree,,19,canada,alberta,other,elementary school,i am not currently studying,ab,7,yes ,3,i dont use social media,4,3,,4,4,3.66666666666667,,3.88888888888889
strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,,zee,important,probably yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,strongly agree,probably yes,29,canada,alberta,female,graduate degree,i am in a graduate program,ph,4,yes ,5,46 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,probably yes,yes,moderately uncomfortable,important,yes,yes,yes but i cant describe it well,zed,very important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,agree,definitely yes,59,canada,alberta,female,high school,i am not currently studying,ab,0,yes ,2,30 minutes to 1 hour,4,3,4,5,4,3.66666666666667,5,4.41666666666667
strongly agree,definitely not,yes,neither comfortable nor uncomfortable,important,yes,yes,yes but i cant describe it well,zed,very important,probably yes,probably not,probably yes,no,british english,often,yes,no,might or might not,definitely yes,strongly agree,strongly disagree,agree,strongly agree,probably yes,29,canada,alberta,male,undergraduate degree,i am not currently studying,bc,2,no,,30 minutes to 1 hour,4,2,3,5,4,2.33333333333333,3.66666666666667,3.75
strongly agree,neutral,yes,moderately uncomfortable,extremely important,yes,no,,zee,important,definitely yes,,probably not,yes ,british english,sometimes,no,yes,definitely yes,definitely yes,agree,disagree,agree,disagree,,49,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,yes ,0,12 hours,5,,,4,5,,,4.5
agree,definitely not,yes,extremely comfortable,unimportant,no,yes,yes but i cant describe it well,zee,unimportant,probably not,probably not,definitely not,yes ,british english,rarely,no,no,definitely yes,probably not,neither disagree nor agree,strongly disagree,disagree,neither disagree nor agree,probably not,29,canada,alberta,male,undergraduate degree,i am in a graduate program,ab,0,yes ,7,24 hours,2,2,2,2,2,2.33333333333333,2.33333333333333,2.16666666666667
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably not,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,44,canada,alberta,male,postgraduate degree,i am not currently studying,ab,0,yes ,9,24 hours,3,2,3,3,3,2.33333333333333,3.66666666666667,3
agree,probably yes,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,no,british english,often,yes,yes,definitely yes,probably yes,agree,agree,,disagree,probably yes,39,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,yes ,0,i dont use social media,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
strongly agree,definitely yes,yes,moderately uncomfortable,extremely important,yes,not sure,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,neither disagree nor agree,definitely yes,34,canada,alberta,female,other ,i am not currently studying,on,1,yes ,2,12 hours,5,3,4,5,5,3.66666666666667,5,4.66666666666667
somewhat agree,probably not,no,,important,yes,no,,zed,important,probably yes,,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,agree,strongly agree,probably yes,24,canada,alberta,male,other ,i am not currently studying,ab,0,no,,12 hours,4,,3,4,4,,3.66666666666667,3.88888888888889
strongly agree,probably yes,no,,important,no,not sure,,zed,important,definitely yes,definitely yes,definitely not,,british english,always,yes,definitely yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,39,canada,alberta,female,graduate degree,i am not currently studying,ab,0,no,,24 hours,5,4,4,4,5,5,5,4.75
strongly agree,neutral,no,,extremely important,that depends ,no,,zed,very important,definitely yes,probably not,probably not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,disagree,definitely yes,59,canada,alberta,female,postgraduate degree,i am not currently studying,ab,0,no,,24 hours,5,2,4,5,5,2.33333333333333,5,4.33333333333333
strongly agree,probably yes,no,,extremely important,no,not sure,,zed,important,definitely yes,definitely yes,probably not,no,no particular variety,sometimes,yes,yes,might or might not,might or might not,agree,disagree,agree,agree,probably not,69,canada,alberta,female,high school,i am not currently studying,ab,0,no,,46 hours,5,4,2,4,5,5,2.33333333333333,4.08333333333333
somewhat agree,probably not,no,,,yes,no,,zed,neither unimportant nor important,,probably yes,probably not,,canadian english,rarely,yes,neither yes or no,might or might not,definitely yes,agree,disagree,agree,agree,probably yes,34,canada,alberta,male,other ,i am not currently studying,ab,0,no,,i dont use social media,,3,3,3,,3.66666666666667,3.66666666666667,3.44444444444444
agree,probably not,no,,important,yes,no,,zed,very important,definitely yes,definitely yes,definitely not,no,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,agree,strongly agree,probably yes,34,canada,alberta,female,graduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,5,4,3,5,5,5,3.66666666666667,4.66666666666667
agree,probably not,no,,important,that depends ,yes,yes but i cant describe it well,zee,important,definitely yes,,definitely not,,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,agree,agree,probably yes,29,canada,alberta,male,high school,i am not currently studying,ab,0,no,,24 hours,5,,3,4,5,,3.66666666666667,4.22222222222222
somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zee,important,probably yes,definitely yes,probably not,yes ,no particular variety,,yes,yes,definitely yes,definitely yes,agree,strongly disagree,agree,neither disagree nor agree,probably yes,49,canada,manitoba,male,other ,i am not currently studying,mb,0,no,,24 hours,4,4,3,4,4,5,3.66666666666667,4.16666666666667
strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,probably yes,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,disagree,definitely yes,44,canada,alberta,female,graduate degree,i am not currently studying,ab,1,no,,less than 30 minutes,5,4,4,5,5,5,5,5
strongly disagreee,definitely yes,no,,important,no,no,,both,important,definitely yes,probably yes,definitely not,yes ,canadian english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,59,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,no,,12 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes i do know it is ,both,neither unimportant nor important,might or might not,probably not,probably yes,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,disagree,agree,agree,probably yes,34,canada,alberta,female,graduate degree,i am not currently studying,ab,0,yes ,2,less than 30 minutes,3,2,3,3,3,2.33333333333333,3.66666666666667,3
somewhat agree,probably not,no,,unimportant,that depends ,yes,yes i do know it is ,both,unimportant,probably yes,probably yes,probably not,yes ,british english,rarely,no,neither yes or no,definitely yes,probably yes,neither disagree nor agree,strongly disagree,agree,strongly disagree,,34,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,12 hours,4,3,,2,4,3.66666666666667,,3.22222222222222
strongly agree,definitely yes,no,,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,,probably not,yes ,british english,sometimes,yes,definitely yes,probably yes,definitely yes,strongly agree,agree,neither disagree nor agree,neither disagree nor agree,definitely yes,34,canada,alberta,male,undergraduate degree,i am in a graduate program,ab,0,yes ,12,12 hours,5,,4,5,5,,5,5
somewhat agree,probably not,no,,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably not,definitely yes,probably yes,yes ,british english,often,no,definitely yes,definitely yes,definitely yes,strongly agree,disagree,agree,neither disagree nor agree,definitely yes,34,canada,alberta,female,other ,i am not currently studying,ab,0,yes ,0,24 hours,2,4,4,3,2,5,5,3.75
agree,neutral,yes,neither comfortable nor uncomfortable,important,that depends ,yes,yes but i cant describe it well,zed,unimportant,probably not,probably yes,probably not,no,british english,sometimes,yes,no,definitely yes,probably yes,neither disagree nor agree,strongly disagree,agree,neither disagree nor agree,probably yes,44,canada,alberta,female,graduate degree,i am not currently studying,ab,0,no,,24 hours,2,3,3,2,2,3.66666666666667,3.66666666666667,2.83333333333333
somewhat agree,definitely not,yes,extremely comfortable,extremely important,yes,not sure,yes but i cant describe it well,zed,very important,definitely yes,,probably yes,,british english,rarely,yes,yes,definitely yes,definitely yes,agree,neither disagree nor agree,agree,agree,,29,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,12 hours,5,,,5,5,,,5
strongly agree,,no,,,,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,,,yes ,no particular variety,rarely,yes,,might or might not,might or might not,disagree,disagree,,disagree,probably yes,34,canada,alberta,other,undergraduate degree,i am not currently studying,ab,0,no,,24 hours,3,,3,3,3,,3.66666666666667,3.22222222222222
agree,neutral,no,,extremely important,that depends ,not sure,yes but i cant describe it well,both,very important,definitely yes,,probably not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,34,canada,alberta,female,high school,i am not currently studying,on,0,no,,24 hours,5,,3,5,5,,3.66666666666667,4.55555555555556
strongly agree,neutral,yes,extremely comfortable,unimportant,no,yes,yes i do know it is ,zee,very unimportant,might or might not,probably yes,probably not,yes ,british english,often,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,strongly agree,definitely yes,49,canada,alberta,female,high school,i am not currently studying,on,0,no,,less than 30 minutes,3,3,4,1,3,3.66666666666667,5,3.16666666666667
strongly agree,definitely yes,yes,extremely comfortable,,that depends ,no,,zee,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,agree,definitely yes,24,canada,manitoba,female,other ,other degree ,mb,3,no,,12 hours,3,3,4,3,3,3.66666666666667,5,3.66666666666667
strongly agree,neutral,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,strongly disagree,agree,disagree,definitely yes,49,canada,alberta,female,graduate degree,second year,nb,0,no,,24 hours,4,3,4,4,4,3.66666666666667,5,4.16666666666667
somewhat agree,neutral,yes,neither comfortable nor uncomfortable,important,no,yes,yes but i cant describe it well,both,very important,definitely yes,,probably not,no,british english,often,yes,definitely yes,might or might not,might or might not,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,19,canada,alberta,male,high school,i am not currently studying,ab,1,yes ,3,24 hours,5,,3,5,5,,3.66666666666667,4.55555555555556
agree,definitely yes,no,,,yes,not sure,,both,very unimportant,probably yes,probably yes,definitely not,,canadian english,sometimes,yes,no,definitely not,definitely yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably not,69,canada,alberta,female,high school,i am not currently studying,ab,0,no,,24 hours,4,3,2,1,4,3.66666666666667,2.33333333333333,2.75
strongly agree,definitely yes,yes,extremely comfortable,extremely important,yes,not sure,yes but i cant describe it well,zed,very important,definitely yes,probably not,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,agree,definitely yes,39,canada,manitoba,female,high school,i am not currently studying,mb,9,no,,30 minutes to 1 hour,5,2,4,5,5,2.33333333333333,5,4.33333333333333
strongly agree,neutral,yes,neither comfortable nor uncomfortable,unimportant,yes,yes,yes but i cant describe it well,zee,unimportant,probably not,definitely yes,probably not,yes ,british english,sometimes,yes,no,definitely yes,definitely yes,disagree,disagree,strongly agree,strongly agree,probably yes,39,canada,alberta,female,undergraduate degree,i am not currently studying,bc,3,no,,less than 30 minutes,2,4,3,2,2,5,3.66666666666667,3.16666666666667
agree,probably not,no,,important,no,yes,yes i do know it is ,zed,very unimportant,definitely yes,definitely not,probably not,no,canadian english,rarely,no,no,probably yes,probably yes,strongly disagree,strongly disagree,agree,strongly disagree,probably yes,44,canada,alberta,male,undergraduate degree,i am not currently studying,,0,no,,i dont use social media,5,1,3,1,5,1,3.66666666666667,2.66666666666667
agree,probably yes,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,might or might not,disagree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,74,canada,alberta,male,undergraduate degree,i am not currently studying,ab,2,yes ,9,less than 30 minutes,5,4,3,5,5,5,3.66666666666667,4.66666666666667
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,probably yes,definitely yes,definitely not,yes ,canadian english,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,agree,definitely yes,59,canada,alberta,male,undergraduate degree,i am not currently studying,on,1,no,,30 minutes to 1 hour,4,4,4,5,4,5,5,4.75
strongly agree,definitely yes,no,,important,no,not sure,,zed,important,probably not,definitely yes,definitely not,,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,34,canada,alberta,female,graduate degree,i am not currently studying,ab,0,yes ,1,12 hours,2,4,3,4,2,5,3.66666666666667,3.66666666666667
strongly agree,probably yes,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,probably not,,british english,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,29,canada,alberta,female,high school,fourth year+,ab,0,no,,12 hours,5,4,4,5,5,5,5,5
agree,probably yes,no,,extremely important,no,no,,both,neither unimportant nor important,probably not,probably yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,agree,definitely yes,44,canada,alberta,female,graduate degree,i am not currently studying,ab,0,yes ,8,12 hours,2,3,4,3,2,3.66666666666667,5,3.41666666666667
strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,not sure,,both,neither unimportant nor important,probably yes,definitely yes,definitely not,yes ,british english,always,yes,neither yes or no,definitely yes,definitely yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,definitely yes,34,canada,alberta,male,other ,i am not currently studying,qc,0,yes ,2,12 hours,4,4,4,3,4,5,5,4.25
agree,probably not,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,strongly agree,strongly disagree,definitely yes,24,canada,alberta,male,high school,fourth year+,ab,0,no,,24 hours,5,4,4,4,5,5,5,4.75
agree,probably not,no,,important,that depends ,yes,yes but i cant describe it well,both,important,probably yes,probably not,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,agree,disagree,agree,,probably yes,34,canada,alberta,male,other ,i am not currently studying,ab,0,no,,24 hours,4,2,3,4,4,2.33333333333333,3.66666666666667,3.5
agree,neutral,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably not,probably not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,alberta,female,high school,i am not currently studying,ab,0,no,,46 hours,5,2,3,4,5,2.33333333333333,3.66666666666667,3.75
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,both,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,34,canada,british columbia,female,graduate degree,i am not currently studying,bc,0,yes ,0,46 hours,5,4,3,5,5,5,3.66666666666667,4.66666666666667
strongly agree,probably yes,no,,unimportant,no,no,,zed,important,definitely yes,probably yes,definitely not,,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,alberta,male,other ,i am not currently studying,ab,0,no,,i dont use social media,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,important,probably yes,,definitely not,yes ,british english,often,,,definitely yes,probably yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,probably yes,44,canada,alberta,female,undergraduate degree,i am not currently studying,qc,3,yes ,6,30 minutes to 1 hour,4,,3,4,4,,3.66666666666667,3.88888888888889
strongly agree,probably not,no,,extremely unimportant,yes,not sure,,both,very unimportant,probably yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,disagree,probably yes,39,canada,alberta,male,high school,i am not currently studying,ab,0,yes ,1,12 hours,4,3,3,1,4,3.66666666666667,3.66666666666667,3.08333333333333
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,probably not,,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,alberta,male,high school,i am not currently studying,ab,0,no,,24 hours,5,4,4,5,5,5,5,5
strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,,british english,,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,agree,probably yes,24,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,24 hours,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
strongly agree,neutral,yes,extremely comfortable,extremely important,no,no,,zee,very unimportant,definitely not,probably yes,probably not,,no particular variety,rarely,yes,yes,definitely yes,probably yes,agree,disagree,agree,agree,,39,canada,alberta,male,undergraduate degree,i am not currently studying,ab,3,yes ,6,24 hours,1,3,,1,1,3.66666666666667,,1.88888888888889
strongly agree,probably yes,yes,moderately comfortable,unimportant,that depends ,yes,yes but i cant describe it well,both,very unimportant,probably not,probably yes,,no,british english,often,yes,neither yes or no,definitely yes,definitely yes,strongly agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,alberta,female,high school,first year,ab,5,yes ,2,68 hours,2,3,3,1,2,3.66666666666667,3.66666666666667,2.58333333333333
strongly agree,neutral,yes,moderately comfortable,extremely important,no,yes,yes but i cant describe it well,zed,important,definitely yes,,probably not,yes ,british english,rarely,yes,no,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly agree,agree,probably yes,29,canada,alberta,male,high school,fourth year+,ab,0,yes ,7,24 hours,5,,3,4,5,,3.66666666666667,4.22222222222222
strongly agree,definitely yes,no,,important,that depends ,not sure,,zed,important,,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,definitely yes,34,canada,alberta,female,postgraduate degree,i am not currently studying,ab,0,no,,less than 30 minutes,,4,4,4,,5,5,4.66666666666667
agree,probably yes,no,,,yes,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,strongly agree,disagree,definitely yes,29,canada,british columbia,male,high school,third year,bc,0,no,,24 hours,4,4,4,3,4,5,5,4.25
agree,neutral,no,,important,yes,no,,zed,important,definitely yes,definitely yes,,,british english,often,yes,definitely yes,probably yes,might or might not,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,64,canada,alberta,female,high school,i am not currently studying,ab,0,,,less than 30 minutes,5,4,3,4,5,5,3.66666666666667,4.41666666666667
strongly disagreee,neutral,no,,extremely unimportant,that depends ,not sure,yes i do know it is ,zee,very important,probably yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,34,canada,alberta,female,other ,,ab,0,no,,24 hours,4,3,4,5,4,3.66666666666667,5,4.41666666666667
somewhat agree,neutral,no,,important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably not,no,british english,often,yes,definitely yes,probably yes,might or might not,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,39,canada,alberta,male,graduate degree,i am not currently studying,sct,0,yes ,4,i dont use social media,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
agree,neutral,no,,important,that depends ,,,zed,important,probably yes,probably yes,definitely not,,irish english,sometimes,no,neither yes or no,probably yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,29,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,24 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,definitely yes,yes,neither comfortable nor uncomfortable,unimportant,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,definitely yes,probably yes,probably not,yes ,british english,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,probably yes,49,canada,alberta,female,undergraduate degree,i am not currently studying,sk,0,yes ,5,30 minutes to 1 hour,5,3,3,3,5,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,neutral,no,,extremely important,yes,not sure,yes but i cant describe it well,zed,very important,probably yes,definitely yes,probably not,yes ,british english,often,yes,yes,definitely yes,definitely yes,strongly agree,strongly disagree,agree,disagree,definitely yes,39,canada,alberta,female,other ,i am not currently studying,ab,0,no,,24 hours,4,4,4,5,4,5,5,4.75
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,definitely not,,no particular variety,often,yes,definitely yes,probably yes,might or might not,strongly disagree,strongly disagree,strongly agree,disagree,probably yes,34,canada,alberta,female,postgraduate degree,i am in a graduate program,ab,0,yes ,7,12 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
agree,definitely yes,yes,neither comfortable nor uncomfortable,important,yes,no,,zed,important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,no,probably yes,definitely not,agree,disagree,agree,strongly disagree,definitely yes,29,canada,alberta,male,graduate degree,i am not currently studying,ab,0,no,,less than 30 minutes,5,4,4,4,5,5,5,4.75
somewhat agree,definitely yes,yes,extremely comfortable,important,no,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,might or might not,strongly agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,alberta,male,undergraduate degree,i am not currently studying,phi,4,yes ,5,46 hours,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
strongly agree,probably not,no,,extremely important,that depends ,yes,yes but i cant describe it well,both,very important,definitely yes,probably not,probably yes,yes ,british english,always,yes,neither yes or no,definitely yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,definitely yes,44,canada,ontario,male,graduate degree,i am not currently studying,on,0,no,,12 hours,5,2,4,5,5,2.33333333333333,5,4.33333333333333
agree,definitely not,no,,unimportant,no,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,,no,canadian english,rarely,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly disagree,,24,canada,alberta,male,high school,third year,ns,0,no,,i dont use social media,4,3,,4,4,3.66666666666667,,3.88888888888889
