cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
agree,probably yes,yes,neither comfortable nor uncomfortable,important,yes,no,,both,neither unimportant nor important,might or might not,probably yes,probably not,,no particular variety,sometimes,,,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,quebec,female,undergraduate degree,i am not currently studying,qc,0,no,,30 minutes to 1 hour,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,definitely not,no,,extremely unimportant,no,yes,yes i do know it is ,zee,very unimportant,definitely not,definitely not,definitely not,no,no particular variety,sometimes,yes,no,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably yes,24,canada,british columbia,male,high school,fourth year+,bc,0,yes ,6,less than 30 minutes,1,1,3,1,1,1,3.66666666666667,1.66666666666667
strongly agree,probably not,yes,extremely comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably yes,yes ,british english,sometimes,,definitely yes,might or might not,probably yes,strongly agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,54,canada,quebec,female,postgraduate degree,i am not currently studying,on,1,yes ,12,30 minutes to 1 hour,4,2,3,4,4,2.33333333333333,3.66666666666667,3.5
agree,probably yes,no,,important,yes,no,,zed,important,probably yes,probably yes,probably yes,,british english,often,,neither yes or no,definitely yes,definitely yes,agree,neither disagree nor agree,,disagree,probably yes,79,canada,prince edward island,female,undergraduate degree,i am not currently studying,,0,no,,24 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,no,,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,rarely,no,,probably yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,74,canada,prince edward island,female,high school,i am not currently studying,uk,0,yes ,9,30 minutes to 1 hour,2,3,3,2,2,3.66666666666667,3.66666666666667,2.83333333333333
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,no,,both,unimportant,,probably not,probably not,no,no particular variety,sometimes,no,no,definitely yes,might or might not,strongly agree,,neither disagree nor agree,neither disagree nor agree,probably not,69,canada,prince edward island,female,high school,i am not currently studying,pei,1,yes ,4,12 hours,,2,2,2,,2.33333333333333,2.33333333333333,2.22222222222222
strongly agree,definitely yes,yes,extremely comfortable,important,no,not sure,,zed,neither unimportant nor important,definitely yes,probably not,definitely not,,british english,rarely,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,disagree,agree,disagree,probably not,19,canada,british columbia,male,elementary school,i am not currently studying,bc,3,no,,24 hours,5,2,2,3,5,2.33333333333333,2.33333333333333,3.16666666666667
strongly agree,definitely yes,yes,extremely comfortable,important,no,no,,both,unimportant,probably yes,definitely yes,,yes ,british english,often,yes,no,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,24,canada,ontario,female,high school,fourth year+,on,2,yes ,5,30 minutes to 1 hour,4,4,4,2,4,5,5,4
strongly agree,neutral,yes,moderately comfortable,,that depends ,no,,zee,neither unimportant nor important,probably not,probably not,,yes ,no particular variety,never,yes,no,probably yes,might or might not,agree,neither disagree nor agree,agree,strongly agree,probably yes,24,canada,ontario,female,high school,fourth year+,,4,yes ,9,46 hours,2,2,3,3,2,2.33333333333333,3.66666666666667,2.75
strongly agree,probably yes,yes,extremely comfortable,important,no,not sure,,zee,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,no,no,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably not,24,canada,ontario,female,undergraduate degree,i am not currently studying,on,4,yes ,12,24 hours,2,3,2,3,2,3.66666666666667,2.33333333333333,2.75
agree,neutral,no,,important,no,no,,zee,important,probably yes,probably yes,probably not,yes ,no particular variety,rarely,yes,definitely yes,might or might not,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably not,24,canada,ontario,female,high school,fourth year+,on,1,yes ,0,46 hours,4,3,2,4,4,3.66666666666667,2.33333333333333,3.5
strongly agree,probably yes,yes,moderately comfortable,,no,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,probably yes,no,british english,sometimes,yes,yes,probably yes,definitely yes,agree,neither disagree nor agree,,neither disagree nor agree,definitely yes,24,canada,ontario,male,undergraduate degree,third year,imd,1,,,46 hours,3,3,4,3,3,3.66666666666667,5,3.66666666666667
strongly agree,probably yes,no,,important,no,no,,zed,very unimportant,definitely not,definitely not,,no,british english,never,,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,disagree,agree,agree,probably not,24,canada,ontario,male,high school,third year,on,0,yes ,6,less than 30 minutes,1,1,2,1,1,1,2.33333333333333,1.33333333333333
strongly agree,probably not,no,,extremely unimportant,that depends ,no,,zee,unimportant,might or might not,probably yes,,no,british english,never,no,neither yes or no,definitely yes,probably yes,strongly agree,disagree,,neither disagree nor agree,probably not,24,canada,ontario,male,undergraduate degree,i am not currently studying,us,0,yes ,,12 hours,3,3,2,2,3,3.66666666666667,2.33333333333333,2.75
